BJ0_CODIGO;BJ0_TIPO;BJ0_ROTINA
101;1;PLSPORFAI           
101;2;PLSPORFAI           
101;3;PLSPORFAI           
103;1;PLSTXPAD            
103;2;PLSTXPAD            
103;3;PLSTXPAD            
104;1;PLVLROPC            
104;2;PLVLROPC            
104;3;PLVLROPC            
104;4;PLVLROPC            
106;1;PLSPORFAI           
106;2;PLSPORFAI           
106;3;PLSPORFAI           
107;2;PLSTXFIX            
108;1;PLSPORFAI           
108;2;PLSPORFAI           
108;3;PLSPORFAI           
109;1;PLSPORFAI           
109;2;PLSPORFAI           
109;3;PLSPORFAI           
110;1;PLSPORFAI           
110;2;PLSPORFAI           
110;3;PLSPORFAI           
110;4;PLSPORFAI           
111;1;PLSPORFAI           
111;2;PLSPORFAI           
111;3;PLSPORFAI           
112;1;PLSPORFAI           
112;2;PLSPORFAI           
112;3;PLSPORFAI           
113;1;PLSPORFAI           
113;2;PLSPORFAI           
113;3;PLSPORFAI           
114;1;PLSPORFAI           
114;2;PLSPORFAI           
114;3;PLSPORFAI           
115;1;PLSPORFAI           
115;2;PLSPORFAI           
115;3;PLSPORFAI           
116;1;PLSPORFAI           
116;2;PLSPORFAI           
116;3;PLSPORFAI           
117;1;PLSPORFAI           
117;2;PLSPORFAI           
117;3;PLSPORFAI           
118;1;PLSPORFAI           
118;2;PLSPORFAI           
118;3;PLSPORFAI           
119;1;PLSPORFAI           
119;2;PLSPORFAI           
119;3;PLSPORFAI           
120;1;PLSPORFAI           
120;2;PLSPORFAI           
120;3;PLSPORFAI           
121;1;PLSPORFAI           
121;2;PLSPORFAI           
121;3;PLSPORFAI           
122;1;PLSPORFAI           
122;2;PLSPORFAI           
122;3;PLSPORFAI           
123;1;PLSPORFAI           
123;2;PLSPORFAI           
123;3;PLSPORFAI           
124;1;PLSPORFAI           
124;2;PLSPORFAI           
124;3;PLSPORFAI           
125;1;PLSPORFAI           
125;2;PLSPORFAI           
125;3;PLSPORFAI           
126;1;PLSPORFAI           
126;2;PLSPORFAI           
126;3;PLSPORFAI           
127;1;PLSPORFAI           
127;2;PLSPORFAI           
127;3;PLSPORFAI           
128;1;PLSPORFAI           
128;2;PLSPORFAI           
128;3;PLSPORFAI           
129;1;PLSPORFAI           
129;2;PLSPORFAI           
129;3;PLSPORFAI           
130;1;PLSPORFAI           
130;2;PLSPORFAI           
130;3;PLSPORFAI           
131;1;PLSPORFAI           
131;2;PLSPORFAI           
131;3;PLSPORFAI           
132;1;PLSPORFAI           
132;2;PLSPORFAI           
132;3;PLSPORFAI           
133;1;PLSPORFAI           
133;2;PLSPORFAI           
133;3;PLSPORFAI           
134;1;PLSPORFAI           
134;2;PLSPORFAI           
134;3;PLSPORFAI           
135;1;PLSPORFAI           
135;2;PLSPORFAI           
135;3;PLSPORFAI           
136;1;PLSPORFAI           
136;2;PLSPORFAI           
136;3;PLSPORFAI           
137;1;PLSPORFAI           
137;2;PLSPORFAI           
137;3;PLSPORFAI           
138;1;PLSPORFAI           
138;2;PLSPORFAI           
138;3;PLSPORFAI           
139;1;PLSPORFAI           
139;2;PLSPORFAI           
139;3;PLSPORFAI           
140;1;PLSPORFAI           
140;2;PLSPORFAI           
140;3;PLSPORFAI           
141;1;PLSPORFAI           
141;2;PLSPORFAI           
141;3;PLSPORFAI           
142;1;PLSPORFAI           
142;2;PLSPORFAI           
142;3;PLSPORFAI           
